Datetime,Symbol,Open,High,Low,Close
7/1/2021 0:00,BTC,35049.04548,35056.81722,34991.32666,34993.99427
7/1/2021 0:01,BTC,34995.3492,35030.58304,34989.16769,34991.26646
7/1/2021 0:02,BTC,34991.95094,34994.43172,34929.6718,34952.45011
7/1/2021 0:03,BTC,34954.64232,34980.65752,34954.64232,34961.64983
7/1/2021 14:04,BTC,33528.27481,33528.6023,33495.15223,33503.41772
7/1/2021 14:05,BTC,33500.50431,33525.68044,33476.05597,33525.68044
7/1/2021 14:06,BTC,33528.46004,33581.90884,33520.96089,33579.33561
7/1/2021 14:07,BTC,33574.81461,33591.04369,33556.39739,33579.21798
7/1/2021 14:08,BTC,33576.97218,33576.97218,33564.44681,33571.59053
7/1/2021 14:09,BTC,33572.86365,33618.96808,33569.1045,33597.0187
7/1/2021 14:10,BTC,33593.27695,33622.05368,33591.37002,33609.00842
7/1/2021 14:11,BTC,33609.94234,33609.94234,33570.88471,33588.44421
7/1/2021 14:12,BTC,33591.44197,33592.35746,33570.9758,33570.9758
7/1/2021 14:13,BTC,33573.97851,33573.97851,33525.85492,33553.3453
7/1/2021 14:14,BTC,33553.53502,33591.08046,33548.09101,33591.08046
7/1/2021 14:15,BTC,33591.99848,33600.72987,33551.77326,33551.77326
7/1/2021 14:16,BTC,33546.63311,33546.63311,33442.64599,33455.75972
7/1/2021 14:17,BTC,33460.50689,33468.73795,33430.00843,33468.73795
7/1/2021 14:18,BTC,33468.72943,33468.72943,33247.29146,33277.69202
7/1/2021 14:19,BTC,33287.93153,33324.79715,33262.25082,33286.98397
7/1/2021 14:20,BTC,33282.0411,33334.6091,33275.65041,33317.38756
7/1/2021 14:21,BTC,33318.42542,33326.99625,33271.39873,33322.14756
7/1/2021 14:22,BTC,33316.6838,33320.72798,33289.09134,33309.16003
7/1/2021 14:23,BTC,33298.58573,33337.1864,33282.02045,33336.08684
7/1/2021 14:24,BTC,33336.30459,33337.63148,33289.20911,33321.81247
7/1/2021 14:25,BTC,33322.18329,33358.29996,33322.18329,33351.51806
7/1/2021 14:26,BTC,33351.84838,33351.84838,33299.76392,33300.13177
7/1/2021 14:27,BTC,33314.20383,33326.19445,33294.63652,33305.56211
7/1/2021 14:28,BTC,33304.42211,33305.46271,33213.51447,33224.49082
7/1/2021 14:29,BTC,33225.2601,33261.69175,33191.16428,33206.76968
7/1/2021 14:30,BTC,33207.09369,33207.09369,33136.78216,33136.78216
7/1/2021 14:31,BTC,33125.89935,33155.63294,33097.58321,33114.93863
7/1/2021 14:32,BTC,33114.76924,33125.92328,33090.17684,33114.35121
7/1/2021 14:33,BTC,33114.01028,33159.05584,33099.00663,33147.66115
7/1/2021 14:34,BTC,33143.48987,33149.03811,33115.87281,33121.20209
7/1/2021 14:35,BTC,33124.98945,33161.56697,33122.70715,33156.73429
7/1/2021 14:36,BTC,33157.13824,33163.90272,33148.79281,33163.43415
7/1/2021 14:37,BTC,33163.18505,33169.33309,33138.39532,33140.44075
7/1/2021 14:38,BTC,33140.57083,33170.19057,33140.57083,33161.09702
7/1/2021 14:39,BTC,33156.50724,33156.50724,33117.65505,33142.59773
7/1/2021 14:40,BTC,33135.67576,33169.43983,33134.70071,33167.70717
7/1/2021 14:41,BTC,33167.4956,33194.11481,33152.94883,33178.9039
7/1/2021 14:42,BTC,33173.63184,33178.22607,33152.85052,33173.06251
7/1/2021 14:43,BTC,33173.12781,33173.12781,33115.16804,33115.16804
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
